All hps: 2021-11-21 13:28:39 model=clp_mnist dataset=mnist attack=square_linf n_ex=10000 eps=0.3 p=0.8 n_iter=20000
Clean accuracy: 98.82%
1: acc=91.46% acc_corr=92.55% avg#q_ae=1.74 med#q=2.0, avg_margin=1.85 (n_ex=9882, eps=0.300, 4.97s)
2: acc=88.58% acc_corr=89.64% avg#q_ae=2.10 med#q=2.0, avg_margin=1.67 (n_ex=9882, eps=0.300, 10.02s)
3: acc=87.31% acc_corr=88.35% avg#q_ae=2.31 med#q=2.0, avg_margin=1.59 (n_ex=9882, eps=0.300, 14.57s)
4: acc=86.72% acc_corr=87.76% avg#q_ae=2.44 med#q=2.0, avg_margin=1.55 (n_ex=9882, eps=0.300, 19.11s)
5: acc=86.48% acc_corr=87.51% avg#q_ae=2.51 med#q=2.0, avg_margin=1.53 (n_ex=9882, eps=0.300, 23.47s)
6: acc=86.34% acc_corr=87.37% avg#q_ae=2.56 med#q=2.0, avg_margin=1.52 (n_ex=9882, eps=0.300, 27.86s)
7: acc=86.24% acc_corr=87.27% avg#q_ae=2.60 med#q=2.0, avg_margin=1.52 (n_ex=9882, eps=0.300, 32.27s)
8: acc=86.21% acc_corr=87.24% avg#q_ae=2.62 med#q=2.0, avg_margin=1.51 (n_ex=9882, eps=0.300, 36.63s)
9: acc=86.18% acc_corr=87.21% avg#q_ae=2.63 med#q=2.0, avg_margin=1.51 (n_ex=9882, eps=0.300, 40.99s)
10: acc=86.17% acc_corr=87.20% avg#q_ae=2.64 med#q=2.0, avg_margin=1.51 (n_ex=9882, eps=0.300, 45.37s)
11: acc=86.17% acc_corr=87.20% avg#q_ae=2.64 med#q=2.0, avg_margin=1.51 (n_ex=9882, eps=0.300, 49.78s)
12: acc=86.16% acc_corr=87.19% avg#q_ae=2.65 med#q=2.0, avg_margin=1.51 (n_ex=9882, eps=0.300, 54.19s)
13: acc=86.16% acc_corr=87.19% avg#q_ae=2.65 med#q=2.0, avg_margin=1.51 (n_ex=9882, eps=0.300, 58.59s)
14: acc=86.16% acc_corr=87.19% avg#q_ae=2.65 med#q=2.0, avg_margin=1.51 (n_ex=9882, eps=0.300, 62.96s)
15: acc=86.16% acc_corr=87.19% avg#q_ae=2.65 med#q=2.0, avg_margin=1.51 (n_ex=9882, eps=0.300, 67.36s)
16: acc=86.16% acc_corr=87.19% avg#q_ae=2.65 med#q=2.0, avg_margin=1.51 (n_ex=9882, eps=0.300, 71.73s)
17: acc=86.15% acc_corr=87.18% avg#q_ae=2.66 med#q=2.0, avg_margin=1.51 (n_ex=9882, eps=0.300, 76.10s)
18: acc=86.14% acc_corr=87.17% avg#q_ae=2.67 med#q=2.0, avg_margin=1.51 (n_ex=9882, eps=0.300, 80.52s)
19: acc=86.14% acc_corr=87.17% avg#q_ae=2.67 med#q=2.0, avg_margin=1.51 (n_ex=9882, eps=0.300, 84.88s)
20: acc=86.13% acc_corr=87.16% avg#q_ae=2.69 med#q=2.0, avg_margin=1.51 (n_ex=9882, eps=0.300, 89.26s)
21: acc=86.13% acc_corr=87.16% avg#q_ae=2.69 med#q=2.0, avg_margin=1.51 (n_ex=9882, eps=0.300, 93.65s)
22: acc=86.13% acc_corr=87.16% avg#q_ae=2.69 med#q=2.0, avg_margin=1.51 (n_ex=9882, eps=0.300, 98.10s)
23: acc=85.60% acc_corr=86.62% avg#q_ae=3.54 med#q=2.0, avg_margin=1.47 (n_ex=9882, eps=0.300, 102.69s)
24: acc=85.23% acc_corr=86.25% avg#q_ae=4.13 med#q=2.0, avg_margin=1.44 (n_ex=9882, eps=0.300, 107.15s)
25: acc=84.79% acc_corr=85.80% avg#q_ae=4.81 med#q=2.0, avg_margin=1.42 (n_ex=9882, eps=0.300, 111.57s)
26: acc=84.47% acc_corr=85.48% avg#q_ae=5.31 med#q=2.0, avg_margin=1.40 (n_ex=9882, eps=0.300, 116.02s)
27: acc=84.30% acc_corr=85.31% avg#q_ae=5.57 med#q=2.0, avg_margin=1.39 (n_ex=9882, eps=0.300, 120.39s)
28: acc=83.98% acc_corr=84.98% avg#q_ae=6.08 med#q=3.0, avg_margin=1.37 (n_ex=9882, eps=0.300, 124.72s)
29: acc=83.71% acc_corr=84.71% avg#q_ae=6.50 med#q=3.0, avg_margin=1.36 (n_ex=9882, eps=0.300, 129.05s)
30: acc=83.53% acc_corr=84.53% avg#q_ae=6.79 med#q=3.0, avg_margin=1.35 (n_ex=9882, eps=0.300, 133.51s)
31: acc=83.34% acc_corr=84.34% avg#q_ae=7.10 med#q=3.0, avg_margin=1.34 (n_ex=9882, eps=0.300, 137.81s)
32: acc=83.17% acc_corr=84.16% avg#q_ae=7.38 med#q=3.0, avg_margin=1.33 (n_ex=9882, eps=0.300, 142.06s)
33: acc=83.03% acc_corr=84.02% avg#q_ae=7.62 med#q=3.0, avg_margin=1.32 (n_ex=9882, eps=0.300, 146.30s)
34: acc=82.84% acc_corr=83.83% avg#q_ae=7.95 med#q=3.0, avg_margin=1.32 (n_ex=9882, eps=0.300, 150.52s)
35: acc=82.79% acc_corr=83.78% avg#q_ae=8.03 med#q=3.0, avg_margin=1.31 (n_ex=9882, eps=0.300, 154.73s)
36: acc=82.68% acc_corr=83.67% avg#q_ae=8.23 med#q=3.0, avg_margin=1.31 (n_ex=9882, eps=0.300, 158.96s)
37: acc=82.55% acc_corr=83.54% avg#q_ae=8.47 med#q=3.0, avg_margin=1.30 (n_ex=9882, eps=0.300, 163.19s)
38: acc=82.50% acc_corr=83.49% avg#q_ae=8.56 med#q=3.0, avg_margin=1.29 (n_ex=9882, eps=0.300, 167.36s)
39: acc=82.38% acc_corr=83.36% avg#q_ae=8.79 med#q=3.0, avg_margin=1.29 (n_ex=9882, eps=0.300, 171.56s)
40: acc=82.33% acc_corr=83.31% avg#q_ae=8.89 med#q=3.0, avg_margin=1.28 (n_ex=9882, eps=0.300, 175.77s)
41: acc=82.24% acc_corr=83.22% avg#q_ae=9.07 med#q=3.0, avg_margin=1.28 (n_ex=9882, eps=0.300, 179.95s)
42: acc=82.20% acc_corr=83.18% avg#q_ae=9.15 med#q=3.0, avg_margin=1.28 (n_ex=9882, eps=0.300, 184.16s)
43: acc=82.12% acc_corr=83.10% avg#q_ae=9.32 med#q=3.0, avg_margin=1.27 (n_ex=9882, eps=0.300, 188.35s)
44: acc=82.03% acc_corr=83.01% avg#q_ae=9.51 med#q=3.0, avg_margin=1.27 (n_ex=9882, eps=0.300, 192.51s)
45: acc=81.96% acc_corr=82.94% avg#q_ae=9.66 med#q=3.0, avg_margin=1.27 (n_ex=9882, eps=0.300, 196.79s)
46: acc=81.87% acc_corr=82.85% avg#q_ae=9.86 med#q=3.0, avg_margin=1.26 (n_ex=9882, eps=0.300, 200.90s)
47: acc=81.86% acc_corr=82.84% avg#q_ae=9.88 med#q=3.0, avg_margin=1.26 (n_ex=9882, eps=0.300, 205.00s)
48: acc=81.74% acc_corr=82.72% avg#q_ae=10.16 med#q=3.0, avg_margin=1.25 (n_ex=9882, eps=0.300, 209.18s)
49: acc=81.70% acc_corr=82.68% avg#q_ae=10.25 med#q=3.0, avg_margin=1.25 (n_ex=9882, eps=0.300, 213.29s)
50: acc=81.64% acc_corr=82.61% avg#q_ae=10.39 med#q=3.0, avg_margin=1.25 (n_ex=9882, eps=0.300, 217.44s)
51: acc=81.58% acc_corr=82.55% avg#q_ae=10.54 med#q=3.0, avg_margin=1.25 (n_ex=9882, eps=0.300, 221.65s)
52: acc=81.53% acc_corr=82.50% avg#q_ae=10.66 med#q=3.0, avg_margin=1.24 (n_ex=9882, eps=0.300, 225.80s)
53: acc=81.51% acc_corr=82.48% avg#q_ae=10.71 med#q=3.0, avg_margin=1.24 (n_ex=9882, eps=0.300, 229.95s)
54: acc=81.46% acc_corr=82.43% avg#q_ae=10.84 med#q=3.0, avg_margin=1.24 (n_ex=9882, eps=0.300, 234.11s)
55: acc=81.41% acc_corr=82.38% avg#q_ae=10.97 med#q=3.0, avg_margin=1.24 (n_ex=9882, eps=0.300, 238.29s)
56: acc=81.35% acc_corr=82.32% avg#q_ae=11.12 med#q=3.0, avg_margin=1.24 (n_ex=9882, eps=0.300, 242.48s)
57: acc=81.29% acc_corr=82.26% avg#q_ae=11.28 med#q=3.0, avg_margin=1.23 (n_ex=9882, eps=0.300, 246.65s)
58: acc=81.23% acc_corr=82.20% avg#q_ae=11.45 med#q=3.0, avg_margin=1.23 (n_ex=9882, eps=0.300, 250.78s)
59: acc=81.20% acc_corr=82.17% avg#q_ae=11.53 med#q=3.0, avg_margin=1.23 (n_ex=9882, eps=0.300, 254.94s)
60: acc=81.13% acc_corr=82.10% avg#q_ae=11.73 med#q=3.0, avg_margin=1.23 (n_ex=9882, eps=0.300, 259.08s)
61: acc=81.10% acc_corr=82.07% avg#q_ae=11.81 med#q=3.0, avg_margin=1.22 (n_ex=9882, eps=0.300, 263.24s)
62: acc=81.08% acc_corr=82.05% avg#q_ae=11.87 med#q=3.0, avg_margin=1.22 (n_ex=9882, eps=0.300, 267.33s)
63: acc=81.03% acc_corr=82.00% avg#q_ae=12.02 med#q=3.0, avg_margin=1.22 (n_ex=9882, eps=0.300, 271.51s)
64: acc=81.03% acc_corr=82.00% avg#q_ae=12.02 med#q=3.0, avg_margin=1.22 (n_ex=9882, eps=0.300, 275.61s)
65: acc=81.02% acc_corr=81.99% avg#q_ae=12.05 med#q=3.0, avg_margin=1.22 (n_ex=9882, eps=0.300, 279.73s)
66: acc=80.97% acc_corr=81.94% avg#q_ae=12.20 med#q=3.0, avg_margin=1.22 (n_ex=9882, eps=0.300, 283.87s)
67: acc=80.96% acc_corr=81.93% avg#q_ae=12.23 med#q=3.0, avg_margin=1.21 (n_ex=9882, eps=0.300, 288.04s)
68: acc=80.91% acc_corr=81.88% avg#q_ae=12.39 med#q=3.0, avg_margin=1.21 (n_ex=9882, eps=0.300, 292.57s)
69: acc=80.87% acc_corr=81.84% avg#q_ae=12.52 med#q=3.0, avg_margin=1.21 (n_ex=9882, eps=0.300, 297.37s)
70: acc=80.82% acc_corr=81.79% avg#q_ae=12.68 med#q=3.0, avg_margin=1.21 (n_ex=9882, eps=0.300, 301.50s)
71: acc=80.80% acc_corr=81.76% avg#q_ae=12.75 med#q=3.0, avg_margin=1.21 (n_ex=9882, eps=0.300, 305.86s)
72: acc=80.77% acc_corr=81.73% avg#q_ae=12.85 med#q=3.0, avg_margin=1.21 (n_ex=9882, eps=0.300, 309.95s)
73: acc=80.75% acc_corr=81.71% avg#q_ae=12.91 med#q=3.0, avg_margin=1.21 (n_ex=9882, eps=0.300, 314.07s)
74: acc=80.71% acc_corr=81.67% avg#q_ae=13.05 med#q=3.0, avg_margin=1.20 (n_ex=9882, eps=0.300, 318.18s)
75: acc=80.70% acc_corr=81.66% avg#q_ae=13.09 med#q=3.0, avg_margin=1.20 (n_ex=9882, eps=0.300, 322.29s)
76: acc=80.67% acc_corr=81.63% avg#q_ae=13.19 med#q=3.0, avg_margin=1.20 (n_ex=9882, eps=0.300, 326.39s)
77: acc=80.66% acc_corr=81.62% avg#q_ae=13.23 med#q=3.0, avg_margin=1.20 (n_ex=9882, eps=0.300, 330.50s)
78: acc=80.61% acc_corr=81.57% avg#q_ae=13.41 med#q=3.0, avg_margin=1.20 (n_ex=9882, eps=0.300, 334.66s)
79: acc=80.58% acc_corr=81.54% avg#q_ae=13.52 med#q=3.0, avg_margin=1.20 (n_ex=9882, eps=0.300, 338.72s)
80: acc=80.54% acc_corr=81.50% avg#q_ae=13.66 med#q=3.0, avg_margin=1.20 (n_ex=9882, eps=0.300, 342.85s)
81: acc=80.52% acc_corr=81.48% avg#q_ae=13.74 med#q=3.0, avg_margin=1.20 (n_ex=9882, eps=0.300, 346.93s)
82: acc=80.52% acc_corr=81.48% avg#q_ae=13.74 med#q=3.0, avg_margin=1.20 (n_ex=9882, eps=0.300, 351.02s)
83: acc=80.49% acc_corr=81.45% avg#q_ae=13.85 med#q=3.0, avg_margin=1.19 (n_ex=9882, eps=0.300, 355.15s)
84: acc=80.47% acc_corr=81.43% avg#q_ae=13.93 med#q=3.0, avg_margin=1.19 (n_ex=9882, eps=0.300, 359.28s)
85: acc=80.46% acc_corr=81.42% avg#q_ae=13.97 med#q=3.0, avg_margin=1.19 (n_ex=9882, eps=0.300, 363.37s)
86: acc=80.42% acc_corr=81.38% avg#q_ae=14.13 med#q=3.0, avg_margin=1.19 (n_ex=9882, eps=0.300, 367.49s)
87: acc=80.40% acc_corr=81.36% avg#q_ae=14.21 med#q=3.0, avg_margin=1.19 (n_ex=9882, eps=0.300, 371.57s)
88: acc=80.39% acc_corr=81.35% avg#q_ae=14.25 med#q=3.0, avg_margin=1.19 (n_ex=9882, eps=0.300, 375.63s)
89: acc=80.36% acc_corr=81.32% avg#q_ae=14.37 med#q=3.0, avg_margin=1.19 (n_ex=9882, eps=0.300, 379.76s)
