All hps: 2021-11-21 22:25:11 model=clp_mnist dataset=mnist attack=square_linf n_ex=1000 eps=0.2 p=0.3 n_iter=200
Clean accuracy: 98.40%
1: acc=96.20% acc_corr=97.76% avg#q_ae=1.41 med#q=1.0, avg_margin=2.15 (n_ex=984, eps=0.200, 0.61s)
2: acc=95.80% acc_corr=97.36% avg#q_ae=1.65 med#q=1.5, avg_margin=2.09 (n_ex=984, eps=0.200, 1.28s)
3: acc=95.60% acc_corr=97.15% avg#q_ae=1.82 med#q=2.0, avg_margin=2.05 (n_ex=984, eps=0.200, 1.88s)
4: acc=95.10% acc_corr=96.65% avg#q_ae=2.30 med#q=2.0, avg_margin=2.01 (n_ex=984, eps=0.200, 2.54s)
5: acc=94.60% acc_corr=96.14% avg#q_ae=2.79 med#q=2.0, avg_margin=1.98 (n_ex=984, eps=0.200, 3.13s)
6: acc=94.20% acc_corr=95.73% avg#q_ae=3.19 med#q=2.0, avg_margin=1.95 (n_ex=984, eps=0.200, 3.80s)
7: acc=93.80% acc_corr=95.33% avg#q_ae=3.61 med#q=3.0, avg_margin=1.93 (n_ex=984, eps=0.200, 4.43s)
8: acc=93.40% acc_corr=94.92% avg#q_ae=4.04 med#q=3.0, avg_margin=1.91 (n_ex=984, eps=0.200, 5.03s)
9: acc=93.00% acc_corr=94.51% avg#q_ae=4.48 med#q=4.0, avg_margin=1.90 (n_ex=984, eps=0.200, 5.59s)
10: acc=92.60% acc_corr=94.11% avg#q_ae=4.93 med#q=5.0, avg_margin=1.88 (n_ex=984, eps=0.200, 6.16s)
11: acc=92.10% acc_corr=93.60% avg#q_ae=5.49 med#q=5.0, avg_margin=1.87 (n_ex=984, eps=0.200, 6.71s)
12: acc=91.80% acc_corr=93.29% avg#q_ae=5.83 med#q=5.5, avg_margin=1.85 (n_ex=984, eps=0.200, 7.27s)
13: acc=91.50% acc_corr=92.99% avg#q_ae=6.19 med#q=6.0, avg_margin=1.84 (n_ex=984, eps=0.200, 7.82s)
14: acc=91.30% acc_corr=92.78% avg#q_ae=6.44 med#q=6.0, avg_margin=1.83 (n_ex=984, eps=0.200, 8.37s)
15: acc=91.10% acc_corr=92.58% avg#q_ae=6.70 med#q=6.0, avg_margin=1.82 (n_ex=984, eps=0.200, 8.94s)
16: acc=90.70% acc_corr=92.17% avg#q_ae=7.23 med#q=7.0, avg_margin=1.81 (n_ex=984, eps=0.200, 9.52s)
17: acc=90.70% acc_corr=92.17% avg#q_ae=7.23 med#q=7.0, avg_margin=1.80 (n_ex=984, eps=0.200, 10.03s)
18: acc=90.70% acc_corr=92.17% avg#q_ae=7.23 med#q=7.0, avg_margin=1.79 (n_ex=984, eps=0.200, 10.60s)
19: acc=90.60% acc_corr=92.07% avg#q_ae=7.40 med#q=7.0, avg_margin=1.78 (n_ex=984, eps=0.200, 11.23s)
20: acc=90.40% acc_corr=91.87% avg#q_ae=7.74 med#q=7.0, avg_margin=1.77 (n_ex=984, eps=0.200, 11.93s)
21: acc=90.40% acc_corr=91.87% avg#q_ae=7.74 med#q=7.0, avg_margin=1.75 (n_ex=984, eps=0.200, 12.67s)
22: acc=90.20% acc_corr=91.67% avg#q_ae=8.11 med#q=7.0, avg_margin=1.75 (n_ex=984, eps=0.200, 13.32s)
23: acc=90.00% acc_corr=91.46% avg#q_ae=8.49 med#q=7.5, avg_margin=1.74 (n_ex=984, eps=0.200, 13.94s)
24: acc=89.80% acc_corr=91.26% avg#q_ae=8.87 med#q=8.0, avg_margin=1.73 (n_ex=984, eps=0.200, 14.55s)
25: acc=89.80% acc_corr=91.26% avg#q_ae=8.87 med#q=8.0, avg_margin=1.73 (n_ex=984, eps=0.200, 15.20s)
26: acc=89.70% acc_corr=91.16% avg#q_ae=9.08 med#q=8.0, avg_margin=1.72 (n_ex=984, eps=0.200, 15.72s)
27: acc=89.70% acc_corr=91.16% avg#q_ae=9.08 med#q=8.0, avg_margin=1.71 (n_ex=984, eps=0.200, 16.19s)
28: acc=89.50% acc_corr=90.96% avg#q_ae=9.53 med#q=8.0, avg_margin=1.71 (n_ex=984, eps=0.200, 16.70s)
29: acc=89.30% acc_corr=90.75% avg#q_ae=9.98 med#q=8.0, avg_margin=1.70 (n_ex=984, eps=0.200, 17.16s)
30: acc=88.90% acc_corr=90.35% avg#q_ae=10.86 med#q=9.0, avg_margin=1.69 (n_ex=984, eps=0.200, 17.62s)
31: acc=88.90% acc_corr=90.35% avg#q_ae=10.86 med#q=9.0, avg_margin=1.69 (n_ex=984, eps=0.200, 18.11s)
32: acc=88.90% acc_corr=90.35% avg#q_ae=10.86 med#q=9.0, avg_margin=1.68 (n_ex=984, eps=0.200, 18.58s)
33: acc=88.60% acc_corr=90.04% avg#q_ae=11.57 med#q=9.0, avg_margin=1.67 (n_ex=984, eps=0.200, 19.05s)
34: acc=88.50% acc_corr=89.94% avg#q_ae=11.81 med#q=9.0, avg_margin=1.67 (n_ex=984, eps=0.200, 19.50s)
35: acc=88.50% acc_corr=89.94% avg#q_ae=11.81 med#q=9.0, avg_margin=1.66 (n_ex=984, eps=0.200, 20.00s)
